uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
KPXO-TV,TV_US,41,77483,0,1136922,DT,34000.000,20052,0.0,757.4,13.7,632.0,POINT,21.327110,-157.753924,,,,,,,,,CDBS
KHET,TV_US,11,26431,0,1304126,DT,15700.000,90267,0.0,801.6,45.7,625.0,POINT,21.397677,-158.100032,,,,,,,,,CDBS
KGMB,TV_US,23,34445,0,1342663,DT,23000.000,90561,0.0,805.0,49.1,629.0,POINT,21.397677,-158.100032,,,,,,,,,CDBS
KHNL,TV_US,35,34867,0,1342666,DT,25000.000,90560,0.0,805.0,49.1,629.0,POINT,21.397677,-158.100032,,,,,,,,,CDBS
KFVE,TV_US,22,36917,0,1342320,DT,40000.000,91062,0.0,805.0,49.0,629.0,POINT,21.397677,-158.100032,,,,,,,,,CDBS
KWBN,TV_US,43,27425,0,1046629,DT,6460.000,68020,0.0,716.0,21.0,577.0,POINT,21.392677,-158.096698,,,,,,,,,CDBS
KHLU-LP,TV_US,46,27969,0,1139494,CA,23930.000,66345,0.0,713.0,17.9,0.0,POINT,21.392677,-158.096698,,,,,,,,,CDBS
KHHI-LP,TV_US,48,52919,0,216926,TX,32800.000,17949,105.0,713.0,18.0,0.0,POINT,21.392677,-158.096698,,,,,,,,,CDBS
KIKU,TV_US,19,34527,0,677926,DT,60700.000,43104,0.0,769.0,68.0,606.4,POINT,21.394344,-158.097254,,,,,,,,,CDBS
KKAI,TV_US,50,83180,2,1514311,DD,48200.000,110407,55.0,840.0,11.0,687.0,POINT,21.403064,-158.097531,,,,,,,,,CDBS
